what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387249209046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387249213029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387249239254
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1387249241167
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1387249241190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387249242768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387249245211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387249247521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387249249011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387249249370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387249279714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387249282209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387249283244
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387249283663
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1387249285231
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1387249285302
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1387249285384
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1387249285384
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1387249285448
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1387249285448
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1387249285448
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1387249285448
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1387249285448
